geringeren Hilfsmitteln erlebt hat.|||geringeren Hilfsmitteln erlebt hat.»
«Unter allen lebenden Naturforschern ist Goethe der größte, der einzige, der weiß, worauf es ankommt.»|||‹Unter allen lebenden Naturforschern ist Goethe der größte, der einzige, der weiß, worauf es ankommt›.»
«Was Seebecks Verhalten zur|||Was Seebecks Verhalten zur
das ist schmerzlich.*|||das ist schmerzlich.»
«anthropistischen Größenwahns»|||‹anthropistischen Größenwahns›
«Zeitalter der Philosophie|||‹Zeitalter der Philosophie›
sogenannten «Geisteswissenschaften!»|||sogenannten ‹Geisteswissenschaften›!»
allgemeinen Beifalls erfreute.|||allgemeinen Beifalls erfreute.»
Höchste Ansicht organischer Einheit.|||Höchste Ansicht organischer Einheit.»
dieses Feld zu erweitern.|||dieses Feld zu erweitern.»
Natur, sich in diese Idee zu fügen.|||Natur, sich in diese Idee zu fügen.»
in der «Neuen Freien Presse» ein Leitartikel, der den Brechreiz jedes einfach und gesund denkenden Menschen erregen muss. Hielte man sich in den industriellen Unternehmungen nicht an den Ofenheimschen Geist, so verfiele man in eine «Epoche stumpfer, mutloser Resignation». Dieses Blatt geht in seiner forcierten, sich wie künstlich aufstachelnden Begeisterung so weit, dass es die Freisprechung als die höchste Leistung für das «Gewissen», für die «Ethik» ansieht. Dieselbe Zusammenwerfung von juristischem Recht und Sittlichkeit findet sich in einem nächsten Leitartikel. Um ihr Schoßkind Ofenheim als sittlich völlig rehabilitiert darzustellen, sucht die «Neue Freie Presse» die Sittlichkeit überhaupt fortzueskamotieren. Sie hat die Stirn, zu erklären, dass es für die Sittlichkeit überhaupt «kein irdisches Tribunal» gebe.|||in der ‹Neuen Freien Presse› ein Leitartikel, der den Brechreiz jedes einfach und gesund denkenden Menschen erregen muss. Hielte man sich in den industriellen Unternehmungen nicht an den Ofenheimschen Geist, so verfiele man in eine ‹Epoche stumpfer, mutloser Resignation›. Dieses Blatt geht in seiner forcierten, sich wie künstlich aufstachelnden Begeisterung so weit, dass es die Freisprechung als die höchste Leistung für das ‹Gewissen›, für die ‹Ethik› ansieht. Dieselbe Zusammenwerfung von juristischem Recht und Sittlichkeit findet sich in einem nächsten Leitartikel. Um ihr Schoßkind Ofenheim als sittlich völlig rehabilitiert darzustellen, sucht die ‹Neue Freie Presse› die Sittlichkeit überhaupt fortzueskamotieren. Sie hat die Stirn, zu erklären, dass es für die Sittlichkeit überhaupt ‹kein irdisches Tribunal› gebe.
Die «Neue Freie Presse», welche die von Recht und Gesetz verschiedene Sittlichkeit als «wesenloses Abstraktum» bezeichnet und uns glauben machen will, dass es in jedes Menschen Brust so dürr und paragraphenmäßig aussieht wie in der ihrer Anhänger, möge sich vom alten Kant belehren lassen, dass ein dem Gesetzesparagraphen entsprechendes Handeln zwar legal, aber noch nicht «sittlich» ist. Doch wahrscheinlich weiß das die «Neue Freie Presse» selbst. Nur das bedrängende Gefühl, für etwas sittlich Hohles einmal eingetreten zu sein, konnte ihr den Satz eingeben: «Haben Recht und Gesetz gesprochen, so ist auch der Sittlichkeit Genüge geschehen.» Während sie sich sonst mit einem gewissen idealen Schwunge zu umkleiden liebte, legt sie nun eine sittliche Stumpfheit und moralische Blöße an den Tag. Alle sittlich Entrüsteten sind in ihren Augen Heuchler, Sykophanten, gesinnungsrohe Leute.|||Die ‹Neue Freie Presse›, welche die von Recht und Gesetz verschiedene Sittlichkeit als ‹wesenloses Abstraktum› bezeichnet und uns glauben machen will, dass es in jedes Menschen Brust so dürr und paragraphenmäßig aussieht wie in der ihrer Anhänger, möge sich vom alten Kant belehren lassen, dass ein dem Gesetzesparagraphen entsprechendes Handeln zwar legal, aber noch nicht ‹sittlich› ist. Doch wahrscheinlich weiß das die ‹Neue Freie Presse› selbst. Nur das bedrängende Gefühl, für etwas sittlich Hohles einmal eingetreten zu sein, konnte ihr den Satz eingeben: ‹Haben Recht und Gesetz gesprochen, so ist auch der Sittlichkeit Genüge geschehen.› Während sie sich sonst mit einem gewissen idealen Schwunge zu umkleiden liebte, legt sie nun eine sittliche Stumpfheit und moralische Blöße an den Tag. Alle sittlich Entrüsteten sind in ihren Augen Heuchler, Sykophanten, gesinnungsrohe Leute.»
## Daher der Völker löblicher Gebrauch, Dass jeglicher das Beste, was er kennt, Er Gott, ja seinen Gott benennt, Ihm Himmel und Erden übergibt, Ihn fürchtet und womöglich liebt.|||Daher der Völker löblicher Gebrauch, Dass jeglicher das Beste, was er kennt, Er Gott, ja seinen Gott benennt, Ihm Himmel und Erden übergibt, Ihn fürchtet und womöglich liebt.»
sittliche und wissenschaftliche Welt regiert|||sittliche und wissenschaftliche Welt regiert»

