partition,chunk_id,source_id,chunk_type,source_title,char_count,token_count,over_limit
__shared__,00645c3e-cad2-574b-bd7e-7ec2b917fb8b,lecture:19200516b,book,Entsprechungen zwischen Mikrokosmos und Makrokosmos. Der Mensch — eine Hieroglyphe des Weltenalls.,2762,640,True
__shared__,00871b36-d2b0-58f1-acf7-68b8886daac2,lecture:19220803b,book,Nationalökonomischer Kurs.,2535,528,True
__shared__,00d8ea45-1a8e-5847-8218-23991fa27df7,lecture:19211125,book,Die Wirklichkeit der höheren Welten,2428,571,True
__shared__,01b21260-1090-5d9c-885e-6645197d7f99,908fc041-096e-4440-8593-b3267b712bf5,book,Die Wahrheit als Gesamtumfang aller Weltansichten,2308,575,True
__shared__,01b8492f-70dc-551e-972d-6b8f56077713,lecture:19200827,book,Geisteswissenschaft als Erkenntnis der Grundimpulse sozialer Gestaltung,2386,559,True
__shared__,020a9e53-3395-508d-9815-f8b7f7dadd24,lecture:19211128,book,Die Wirklichkeit der höheren Welten,2317,523,True
__shared__,0224ab18-f833-5e20-99ac-e06291219e81,d64fa532-6040-4fc2-9c43-ed4e5368bb92,book,Die Rätsel der Philosophie,2214,520,True
__shared__,03777b10-0094-5ca0-beb0-f29e272f9e79,f78a79d5-8e8f-435e-bb58-ef6577312f57,book,Lucifer-Gnosis. Grundlegende Aufsätze zur Anthroposophie und Berichte aus,2249,562,True
__shared__,039678ea-82aa-567b-ae87-71c416a4d16d,d64fa532-6040-4fc2-9c43-ed4e5368bb92,book,Die Rätsel der Philosophie,2278,585,True
__shared__,03cfdd70-7eae-5001-9667-9fcb242a3aee,lecture:19190711,book,Neugestaltung des sozialen Organismus,2105,521,True
__shared__,04d904d4-52cc-5e75-bbcd-6874cdae0d55,908fc041-096e-4440-8593-b3267b712bf5,book,Die Wahrheit als Gesamtumfang aller Weltansichten,2109,556,True
__shared__,04e4861a-f30a-5abe-a2a5-57fb6878771c,c2a4e407-cdf7-4802-be84-010cc485ef00,book,Methodische Grundlagen der Anthroposophie,2273,559,True
__shared__,04fc6d2f-ddf6-5445-82dd-384c55ee75e3,e58f6369-f7a7-4213-845f-c5b9bf82ffe5,book,Wahrheit und Wissenschaft,2094,519,True
__shared__,050b928e-2845-56eb-bd48-46c23152be96,lecture:19200303b,book,Soziale Ideen.,2332,532,True
__shared__,058f3a10-3b7d-5add-bf5a-3a52db79e3eb,c2a4e407-cdf7-4802-be84-010cc485ef00,book,Methodische Grundlagen der Anthroposophie,2085,544,True
__shared__,05a327b6-e60f-572c-84b6-42bf6e85f5ad,47b137d3-f414-406f-b142-ed72c7e8989c,book,Einleitungen zu Goethes Naturwissenschaftlichen Schriften,2862,699,True
__shared__,066141be-4abc-5683-97cc-ed32d2732a37,64e881df-0501-4815-9b0c-6cf545c383b6,book,Goethes Weltanschauung,2124,540,True
__shared__,06dc12a3-4c56-582f-a943-9ebe6b3c0366,lecture:19200915b,book,Soziale Ideen.,2581,585,True
__shared__,06ee04a6-de5a-54f4-953a-ab3ccef836f5,lecture:19190826a,book,Allgemeine Menschenkunde als Grundlage der Pädagogik,2194,515,True
__shared__,06feea00-778a-5e82-a33f-d5e68c95721d,d64fa532-6040-4fc2-9c43-ed4e5368bb92,book,Die Rätsel der Philosophie,2631,620,True
__shared__,0746b6b3-4a94-54cb-9eb1-3ecc9ee24580,47b137d3-f414-406f-b142-ed72c7e8989c,book,Einleitungen zu Goethes Naturwissenschaftlichen Schriften,2269,588,True
__shared__,0746c148-a69d-5060-9090-f586aabdc1df,d64fa532-6040-4fc2-9c43-ed4e5368bb92,book,Die Rätsel der Philosophie,2743,746,True
__shared__,080ecd64-68f6-5323-aea0-b9fda23e951f,lecture:19200608,book,Die Krisis der Gegenwart und der Weg zu gesundem Denken,2264,547,True
__shared__,0867ec56-527a-5789-837b-89531fb164b9,908fc041-096e-4440-8593-b3267b712bf5,book,Die Wahrheit als Gesamtumfang aller Weltansichten,1976,517,True
__shared__,0870d04b-3565-5130-9d9f-c83da210165e,lecture:19200511b,book,Fachwissenschaften und Anthroposophie,2210,516,True
__shared__,08de83f3-6dc7-5cdd-b811-8e7745b6d083,lecture:19210407a,book,Die befruchtende Wirkung der Anthroposophie auf die Fachwissenschaften,2259,545,True
__shared__,08fcf875-0494-5d14-bfac-4f4b4dbe051a,3b38df84-e9bc-4e70-9032-d3fa65517cfd,book,Aufsätze über die Dreigliederung des sozialen Organismus und zur Zeitlage,2682,625,True
__shared__,093a8ea9-820d-5376-aa07-d3c55c955a48,4b8e4c2a-3f1b-4d2e-9c4a-8e4f4b2c3a1d,book,Die Philosophie der Freiheit,2344,574,True
__shared__,09a1027a-ef2c-58ef-ad4e-ca7a14aa6d98,lecture:19201004,book,Fachwissenschaften und Anthroposophie,2388,563,True
__shared__,0a481848-375c-5232-8640-105e447f2afd,f78a79d5-8e8f-435e-bb58-ef6577312f57,book,Lucifer-Gnosis. Grundlegende Aufsätze zur Anthroposophie und Berichte aus,2321,536,True
__shared__,0a85487f-5926-5316-a6b2-889140f67782,47b137d3-f414-406f-b142-ed72c7e8989c,book,Einleitungen zu Goethes Naturwissenschaftlichen Schriften,2081,540,True
__shared__,0a8ee880-2198-548e-a88a-9019d3864b1d,lecture:19211202,book,Die Wirklichkeit der höheren Welten,2792,621,True
__shared__,0b2691de-a65b-5b4a-ba1b-67c04e96c85e,lecture:19190901a,book,Allgemeine Menschenkunde als Grundlage der Pädagogik,2381,571,True
__shared__,0b9c3188-a4c2-543e-8c4a-1663ace71187,lecture:19200410b,book,Entsprechungen zwischen Mikrokosmos und Makrokosmos. Der Mensch — eine Hieroglyphe des Weltenalls.,2588,570,True
__shared__,0c7212c5-8de4-57c3-a763-79e28b7ad1a1,lecture:19200424b,book,Entsprechungen zwischen Mikrokosmos und Makrokosmos. Der Mensch — eine Hieroglyphe des Weltenalls.,2067,522,True
__shared__,0d0b3eed-8df5-56e2-bcd2-b8987b8d2cd3,f78a79d5-8e8f-435e-bb58-ef6577312f57,book,Lucifer-Gnosis. Grundlegende Aufsätze zur Anthroposophie und Berichte aus,2076,531,True
__shared__,0d178159-6d6e-52c2-88c1-415dd5ec4433,908fc041-096e-4440-8593-b3267b712bf5,book,Die Wahrheit als Gesamtumfang aller Weltansichten,2271,552,True
__shared__,0d9b23d3-7a12-56e6-ab34-1613ec3e2cae,f78a79d5-8e8f-435e-bb58-ef6577312f57,book,Lucifer-Gnosis. Grundlegende Aufsätze zur Anthroposophie und Berichte aus,2284,550,True
__shared__,0dab04d9-562a-5dae-ae9e-d4fe5bc3c81d,lecture:19191106,book,Die Befreiung des Menschenwesens als Grundlage für eine soziale Neugestaltung.,2332,523,True
__shared__,0db0556b-62db-5d24-93a3-a48af39abdb6,lecture:19190619,book,Neugestaltung des sozialen Organismus,2607,569,True
__shared__,0de1df86-32c1-5ee5-9c3e-8525f3874f02,lecture:19190503,book,Neugestaltung des sozialen Organismus,2549,554,True
